"","B cell","DC precursor","DC1","DC2","Early Erythroid","Early lymphoid/T","Endothelial cell","Fibroblast","Hepatocyte","HSC_MPP","ILC precursor","Kupffer Cell","Late Erythroid","Mast cell","Megakaryocyte","MEMP","Mid Erythroid","Mono-Mac","Monocyte","Monocyte precursor","Neut-myeloid prog.","NK","pDC precursor","Pre pro B cell","pre-B cell","pro-B cell","VCAM1+ EI macro."
"B cell",494,0,0,0,1,4,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,5,3,0,76,0,0
"DC precursor",0,91,8,57,0,0,0,0,0,0,0,1,0,0,0,0,0,0,56,73,21,0,2,0,0,0,0
"DC1",0,0,73,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
"DC2",0,2,18,1251,0,0,0,0,0,0,0,0,0,0,0,0,0,280,45,0,0,0,7,0,0,0,0
"Early Erythroid",0,0,0,0,1417,0,0,0,0,0,0,0,0,4,0,46,129,0,0,0,0,0,0,0,0,0,0
"Early lymphoid/T",1,0,0,0,0,304,0,0,0,0,350,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0
"Endothelial cell",1,0,0,0,0,0,563,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"Fibroblast",0,0,0,0,0,0,6,53,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hepatocyte",0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HSC_MPP",0,0,0,0,0,2,0,1,0,531,0,0,0,0,0,3,0,0,0,0,52,0,0,11,0,5,0
"ILC precursor",0,0,0,0,0,0,0,0,0,0,153,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Kupffer Cell",2,0,0,0,0,0,8,0,0,0,0,5064,0,0,0,0,0,111,2,0,0,0,4,1,0,0,0
"Late Erythroid",0,0,0,0,0,0,0,0,0,0,0,0,141,0,0,0,2,0,0,0,0,1,0,0,0,0,0
"Mast cell",1,0,0,0,9,0,0,0,0,2,0,0,0,532,0,0,0,0,0,0,0,0,0,0,0,0,0
"Megakaryocyte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,357,0,0,0,0,0,0,0,0,0,0,1,0
"MEMP",0,0,0,0,12,0,0,0,0,29,0,0,0,3,98,165,0,0,0,0,0,0,0,0,0,0,0
"Mid Erythroid",0,0,0,0,104,0,0,0,0,0,0,1,32,0,0,0,2043,0,0,0,0,2,0,0,0,1,9
"Mono-Mac",0,0,1,13,0,0,0,0,0,0,0,70,0,0,0,0,0,992,6,0,2,0,2,0,0,0,0
"Monocyte",1,0,0,98,0,0,0,0,0,0,0,0,0,1,0,0,0,40,907,10,1,0,0,0,0,0,0
"Monocyte precursor",0,50,3,28,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,37,4,0,0,0,0,0,0
"Neut-myeloid prog.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0
"NK",0,0,0,0,0,10,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1780,0,0,0,0,0
"pDC precursor",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,66,0,0,0,0
"Pre pro B cell",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,65,10,10,0
"pre-B cell",71,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,4,4,3,702,463,0
"pro-B cell",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,25,272,0
"VCAM1+ EI macro.",0,0,0,0,0,0,0,0,0,0,0,442,0,0,0,0,0,42,0,0,0,0,0,0,0,0,8
